regiao,estado,municipio,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,MA,,2020-02-25,7075181.0,0,0,0,0
Nordeste,CE,,2020-02-25,9132078.0,0,0,0,0
Nordeste,RN,,2020-02-25,3506853.0,0,0,0,0
Nordeste,SE,,2020-02-25,2298696.0,0,0,0,0
Nordeste,PB,,2020-02-25,4018127.0,0,0,0,0
Nordeste,PE,,2020-02-25,9557071.0,0,0,0,0
Nordeste,BA,,2020-02-25,14873064.0,0,0,0,0
Nordeste,AL,,2020-02-25,3337357.0,0,0,0,0
Nordeste,PI,,2020-02-25,3273227.0,0,0,0,0
Nordeste,CE,,2020-02-26,9132078.0,0,0,0,0
Nordeste,PI,,2020-02-26,3273227.0,0,0,0,0
Nordeste,SE,,2020-02-26,2298696.0,0,0,0,0
Nordeste,BA,,2020-02-26,14873064.0,0,0,0,0
Nordeste,AL,,2020-02-26,3337357.0,0,0,0,0
Nordeste,MA,,2020-02-26,7075181.0,0,0,0,0
Nordeste,RN,,2020-02-26,3506853.0,0,0,0,0
Nordeste,PE,,2020-02-26,9557071.0,0,0,0,0
Nordeste,PB,,2020-02-26,4018127.0,0,0,0,0
Nordeste,RN,,2020-02-27,3506853.0,0,0,0,0
Nordeste,PB,,2020-02-27,4018127.0,0,0,0,0
Nordeste,AL,,2020-02-27,3337357.0,0,0,0,0
Nordeste,BA,,2020-02-27,14873064.0,0,0,0,0
Nordeste,PE,,2020-02-27,9557071.0,0,0,0,0
Nordeste,SE,,2020-02-27,2298696.0,0,0,0,0
Nordeste,PI,,2020-02-27,3273227.0,0,0,0,0
Nordeste,CE,,2020-02-27,9132078.0,0,0,0,0
Nordeste,MA,,2020-02-27,7075181.0,0,0,0,0
Nordeste,AL,,2020-02-28,3337357.0,0,0,0,0
Nordeste,BA,,2020-02-28,14873064.0,0,0,0,0
Nordeste,RN,,2020-02-28,3506853.0,0,0,0,0
Nordeste,MA,,2020-02-28,7075181.0,0,0,0,0
Nordeste,CE,,2020-02-28,9132078.0,0,0,0,0
Nordeste,SE,,2020-02-28,2298696.0,0,0,0,0
Nordeste,PE,,2020-02-28,9557071.0,0,0,0,0
Nordeste,PI,,2020-02-28,3273227.0,0,0,0,0
Nordeste,PB,,2020-02-28,4018127.0,0,0,0,0
Nordeste,RN,,2020-02-29,3506853.0,0,0,0,0
Nordeste,SE,,2020-02-29,2298696.0,0,0,0,0
Nordeste,MA,,2020-02-29,7075181.0,0,0,0,0
Nordeste,PB,,2020-02-29,4018127.0,0,0,0,0
Nordeste,PE,,2020-02-29,9557071.0,0,0,0,0
Nordeste,BA,,2020-02-29,14873064.0,0,0,0,0
Nordeste,PI,,2020-02-29,3273227.0,0,0,0,0
Nordeste,CE,,2020-02-29,9132078.0,0,0,0,0
Nordeste,AL,,2020-02-29,3337357.0,0,0,0,0
Nordeste,PI,,2020-03-01,3273227.0,0,0,0,0
Nordeste,PB,,2020-03-01,4018127.0,0,0,0,0
Nordeste,RN,,2020-03-01,3506853.0,0,0,0,0
Nordeste,BA,,2020-03-01,14873064.0,0,0,0,0
Nordeste,SE,,2020-03-01,2298696.0,0,0,0,0
Nordeste,MA,,2020-03-01,7075181.0,0,0,0,0
Nordeste,PE,,2020-03-01,9557071.0,0,0,0,0
Nordeste,AL,,2020-03-01,3337357.0,0,0,0,0
Nordeste,CE,,2020-03-01,9132078.0,0,0,0,0
Nordeste,AL,,2020-03-02,3337357.0,0,0,0,0
Nordeste,CE,,2020-03-02,9132078.0,0,0,0,0
Nordeste,BA,,2020-03-02,14873064.0,0,0,0,0
Nordeste,MA,,2020-03-02,7075181.0,0,0,0,0
Nordeste,RN,,2020-03-02,3506853.0,0,0,0,0
Nordeste,SE,,2020-03-02,2298696.0,0,0,0,0
Nordeste,PB,,2020-03-02,4018127.0,0,0,0,0
Nordeste,PI,,2020-03-02,3273227.0,0,0,0,0
Nordeste,PE,,2020-03-02,9557071.0,0,0,0,0
Nordeste,PB,,2020-03-03,4018127.0,0,0,0,0
Nordeste,RN,,2020-03-03,3506853.0,0,0,0,0
Nordeste,SE,,2020-03-03,2298696.0,0,0,0,0
Nordeste,BA,,2020-03-03,14873064.0,0,0,0,0
Nordeste,MA,,2020-03-03,7075181.0,0,0,0,0
Nordeste,AL,,2020-03-03,3337357.0,0,0,0,0
Nordeste,CE,,2020-03-03,9132078.0,0,0,0,0
Nordeste,PI,,2020-03-03,3273227.0,0,0,0,0
Nordeste,PE,,2020-03-03,9557071.0,0,0,0,0
Nordeste,RN,,2020-03-04,3506853.0,0,0,0,0
Nordeste,CE,,2020-03-04,9132078.0,0,0,0,0
Nordeste,MA,,2020-03-04,7075181.0,0,0,0,0
Nordeste,PI,,2020-03-04,3273227.0,0,0,0,0
Nordeste,SE,,2020-03-04,2298696.0,0,0,0,0
Nordeste,PB,,2020-03-04,4018127.0,0,0,0,0
Nordeste,BA,,2020-03-04,14873064.0,0,0,0,0
Nordeste,AL,,2020-03-04,3337357.0,0,0,0,0
Nordeste,PE,,2020-03-04,9557071.0,0,0,0,0
Nordeste,MA,,2020-03-05,7075181.0,0,0,0,0
Nordeste,BA,,2020-03-05,14873064.0,0,0,0,0
Nordeste,SE,,2020-03-05,2298696.0,0,0,0,0
Nordeste,PB,,2020-03-05,4018127.0,0,0,0,0
Nordeste,CE,,2020-03-05,9132078.0,0,0,0,0
Nordeste,PE,,2020-03-05,9557071.0,0,0,0,0
Nordeste,AL,,2020-03-05,3337357.0,0,0,0,0
Nordeste,PI,,2020-03-05,3273227.0,0,0,0,0
Nordeste,RN,,2020-03-05,3506853.0,0,0,0,0
Nordeste,AL,,2020-03-06,3337357.0,0,0,0,0
Nordeste,CE,,2020-03-06,9132078.0,0,0,0,0
Nordeste,PI,,2020-03-06,3273227.0,0,0,0,0
Nordeste,SE,,2020-03-06,2298696.0,0,0,0,0
Nordeste,MA,,2020-03-06,7075181.0,0,0,0,0
Nordeste,BA,,2020-03-06,14873064.0,1,1,0,0
Nordeste,PB,,2020-03-06,4018127.0,0,0,0,0
Nordeste,PE,,2020-03-06,9557071.0,0,0,0,0
Nordeste,RN,,2020-03-06,3506853.0,0,0,0,0
Nordeste,AL,,2020-03-07,3337357.0,0,0,0,0
Nordeste,PB,,2020-03-07,4018127.0,0,0,0,0
Nordeste,MA,,2020-03-07,7075181.0,0,0,0,0
Nordeste,CE,,2020-03-07,9132078.0,0,0,0,0
Nordeste,PI,,2020-03-07,3273227.0,0,0,0,0
Nordeste,BA,,2020-03-07,14873064.0,2,1,0,0
Nordeste,PE,,2020-03-07,9557071.0,0,0,0,0
Nordeste,RN,,2020-03-07,3506853.0,0,0,0,0
