regiao,estado,municipio,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,MA,,2022-01-01,7075181.0,370694.0,49,10377,0
Nordeste,SE,,2022-01-01,2298696.0,278538.0,8,6057,0
Nordeste,PE,,2022-01-01,9557071.0,645887.0,206,20454,7
Nordeste,AL,,2022-01-01,3337357.0,242091.0,11,6383,0
Nordeste,RN,,2022-01-01,3506853.0,387352.0,150,7572,0
Nordeste,BA,,2022-01-01,14873064.0,1271029.0,171,27507,1
Nordeste,PI,,2022-01-01,3273227.0,334472.0,32,7275,0
Nordeste,CE,,2022-01-01,9132078.0,957035.0,710,24806,0
Nordeste,PB,,2022-01-01,4018127.0,464511.0,176,9597,1
Nordeste,PI,,2022-01-02,3273227.0,334490.0,18,7275,0
Nordeste,PB,,2022-01-02,4018127.0,464565.0,54,9599,2
Nordeste,PE,,2022-01-02,9557071.0,645946.0,59,20460,6
Nordeste,BA,,2022-01-02,14873064.0,1271155.0,126,27510,3
Nordeste,RN,,2022-01-02,3506853.0,387375.0,23,7572,0
Nordeste,SE,,2022-01-02,2298696.0,278539.0,1,6057,0
Nordeste,MA,,2022-01-02,7075181.0,370697.0,3,10378,1
Nordeste,CE,,2022-01-02,9132078.0,957203.0,168,24812,6
Nordeste,AL,,2022-01-02,3337357.0,242104.0,13,6383,0
Nordeste,AL,,2022-01-03,3337357.0,242108.0,4,6383,0
Nordeste,PE,,2022-01-03,9557071.0,646004.0,58,20465,5
Nordeste,RN,,2022-01-03,3506853.0,387542.0,167,7573,1
Nordeste,PI,,2022-01-03,3273227.0,334548.0,58,7279,4
Nordeste,CE,,2022-01-03,9132078.0,957373.0,170,24815,3
Nordeste,SE,,2022-01-03,2298696.0,278539.0,0,6058,1
Nordeste,BA,,2022-01-03,14873064.0,1271250.0,95,27519,9
Nordeste,PB,,2022-01-03,4018127.0,464590.0,25,9600,1
Nordeste,MA,,2022-01-03,7075181.0,370747.0,50,10381,3
Nordeste,RN,,2022-01-04,3506853.0,387919.0,377,7577,4
Nordeste,MA,,2022-01-04,7075181.0,370908.0,161,10384,3
Nordeste,BA,,2022-01-04,14873064.0,1271962.0,712,27538,19
Nordeste,AL,,2022-01-04,3337357.0,242165.0,57,6383,0
Nordeste,SE,,2022-01-04,2298696.0,278557.0,18,6059,1
Nordeste,CE,,2022-01-04,9132078.0,957498.0,125,24823,8
Nordeste,PI,,2022-01-04,3273227.0,334582.0,34,7281,2
Nordeste,PE,,2022-01-04,9557071.0,646276.0,272,20473,8
Nordeste,PB,,2022-01-04,4018127.0,464629.0,39,9600,0
Nordeste,MA,,2022-01-05,7075181.0,371132.0,224,10386,2
Nordeste,BA,,2022-01-05,14873064.0,1272667.0,705,27550,12
Nordeste,AL,,2022-01-05,3337357.0,242225.0,60,6385,2
Nordeste,SE,,2022-01-05,2298696.0,278570.0,13,6059,0
Nordeste,RN,,2022-01-05,3506853.0,388313.0,394,7580,3
Nordeste,CE,,2022-01-05,9132078.0,957813.0,315,24826,3
Nordeste,PE,,2022-01-05,9557071.0,646788.0,512,20481,8
Nordeste,PB,,2022-01-05,4018127.0,464880.0,251,9601,1
Nordeste,PI,,2022-01-05,3273227.0,334606.0,24,7283,2
Nordeste,PE,,2022-01-06,9557071.0,647427.0,639,20489,8
Nordeste,BA,,2022-01-06,14873064.0,1273955.0,1288,27554,4
Nordeste,MA,,2022-01-06,7075181.0,371380.0,248,10390,4
Nordeste,CE,,2022-01-06,9132078.0,958080.0,267,24828,2
Nordeste,RN,,2022-01-06,3506853.0,388861.0,548,7581,1
Nordeste,PI,,2022-01-06,3273227.0,334664.0,58,7287,4
Nordeste,AL,,2022-01-06,3337357.0,242367.0,142,6385,0
Nordeste,PB,,2022-01-06,4018127.0,465082.0,202,9604,3
Nordeste,SE,,2022-01-06,2298696.0,278650.0,80,6060,1
Nordeste,PB,,2022-01-07,4018127.0,465266.0,184,9606,2
Nordeste,PE,,2022-01-07,9557071.0,648110.0,683,20496,7
Nordeste,CE,,2022-01-07,9132078.0,960793.0,2713,24836,8
Nordeste,MA,,2022-01-07,7075181.0,371740.0,360,10394,4
Nordeste,BA,,2022-01-07,14873064.0,1275289.0,1334,27574,20
Nordeste,AL,,2022-01-07,3337357.0,242563.0,196,6385,0
Nordeste,SE,,2022-01-07,2298696.0,278685.0,35,6060,0
Nordeste,PI,,2022-01-07,3273227.0,344324.0,9660,7293,6
Nordeste,RN,,2022-01-07,3506853.0,389367.0,506,7583,2
Nordeste,PI,,2022-01-08,3273227.0,344379.0,55,7295,2
Nordeste,PE,,2022-01-08,9557071.0,648856.0,746,20501,5
Nordeste,RN,,2022-01-08,3506853.0,390084.0,717,7584,1
Nordeste,CE,,2022-01-08,9132078.0,960999.0,206,24841,5
Nordeste,BA,,2022-01-08,14873064.0,1276832.0,1543,27589,15
Nordeste,MA,,2022-01-08,7075181.0,371927.0,187,10396,2
Nordeste,SE,,2022-01-08,2298696.0,278814.0,129,6061,1
Nordeste,PB,,2022-01-08,4018127.0,465373.0,107,9606,0
Nordeste,AL,,2022-01-08,3337357.0,242752.0,189,6386,1
Nordeste,AL,,2022-01-09,3337357.0,243188.0,436,6387,1
Nordeste,PI,,2022-01-09,3273227.0,344434.0,55,7297,2
Nordeste,SE,,2022-01-09,2298696.0,278943.0,129,6062,1
Nordeste,RN,,2022-01-09,3506853.0,390311.0,227,7585,1
Nordeste,MA,,2022-01-09,7075181.0,372010.0,83,10397,1
Nordeste,CE,,2022-01-09,9132078.0,962200.0,1201,24842,1
Nordeste,PE,,2022-01-09,9557071.0,649262.0,406,20507,6
Nordeste,PB,,2022-01-09,4018127.0,465685.0,312,9606,0
Nordeste,BA,,2022-01-09,14873064.0,1277608.0,776,27592,3
Nordeste,RN,,2022-01-10,3506853.0,390383.0,72,7586,1
Nordeste,BA,,2022-01-10,14873064.0,1277975.0,367,27607,15
Nordeste,AL,,2022-01-10,3337357.0,243620.0,432,6389,2
Nordeste,SE,,2022-01-10,2298696.0,278961.0,18,6062,0
Nordeste,MA,,2022-01-10,7075181.0,372118.0,108,10399,2
Nordeste,PE,,2022-01-10,9557071.0,649459.0,197,20511,4
Nordeste,CE,,2022-01-10,9132078.0,963644.0,1444,24851,9
Nordeste,PB,,2022-01-10,4018127.0,466027.0,342,9608,2
Nordeste,PI,,2022-01-10,3273227.0,344523.0,89,7297,0
Nordeste,PE,,2022-01-11,9557071.0,650270.0,811,20519,8
Nordeste,AL,,2022-01-11,3337357.0,243736.0,116,6389,0
Nordeste,PB,,2022-01-11,4018127.0,466088.0,61,9609,1
Nordeste,PI,,2022-01-11,3273227.0,344557.0,34,7301,4
Nordeste,BA,,2022-01-11,14873064.0,1280127.0,2152,27616,9
Nordeste,MA,,2022-01-11,7075181.0,372567.0,449,10401,2
Nordeste,RN,,2022-01-11,3506853.0,390977.0,594,7587,1
Nordeste,CE,,2022-01-11,9132078.0,963773.0,129,24852,1
Nordeste,SE,,2022-01-11,2298696.0,279065.0,104,6062,0
Nordeste,CE,,2022-01-12,9132078.0,964060.0,287,24852,0
Nordeste,SE,,2022-01-12,2298696.0,279235.0,170,6062,0
Nordeste,RN,,2022-01-12,3506853.0,391638.0,661,7587,0
Nordeste,BA,,2022-01-12,14873064.0,1281737.0,1610,27628,12
Nordeste,PI,,2022-01-12,3273227.0,344630.0,73,7303,2
Nordeste,MA,,2022-01-12,7075181.0,373107.0,540,10402,1
Nordeste,PB,,2022-01-12,4018127.0,466088.0,0,9612,3
Nordeste,AL,,2022-01-12,3337357.0,244055.0,319,6389,0
Nordeste,PE,,2022-01-12,9557071.0,651223.0,953,20527,8
Nordeste,BA,,2022-01-13,14873064.0,1283736.0,1999,27642,14
Nordeste,PI,,2022-01-13,3273227.0,344668.0,38,7305,2
Nordeste,PE,,2022-01-13,9557071.0,652670.0,1447,20531,4
Nordeste,RN,,2022-01-13,3506853.0,392614.0,976,7587,0
Nordeste,AL,,2022-01-13,3337357.0,244561.0,506,6389,0
Nordeste,PB,,2022-01-13,4018127.0,466939.0,851,9613,1
Nordeste,SE,,2022-01-13,2298696.0,279337.0,102,6063,1
Nordeste,MA,,2022-01-13,7075181.0,373578.0,471,10406,4
Nordeste,CE,,2022-01-13,9132078.0,964566.0,506,24856,4
Nordeste,RN,,2022-01-14,3506853.0,393965.0,1351,7593,6
Nordeste,MA,,2022-01-14,7075181.0,374012.0,434,10411,5
Nordeste,PB,,2022-01-14,4018127.0,467443.0,504,9614,1
Nordeste,SE,,2022-01-14,2298696.0,279587.0,250,6064,1
Nordeste,PI,,2022-01-14,3273227.0,344753.0,85,7306,1
Nordeste,AL,,2022-01-14,3337357.0,244908.0,347,6391,2
Nordeste,PE,,2022-01-14,9557071.0,654170.0,1500,20536,5
Nordeste,BA,,2022-01-14,14873064.0,1286166.0,2430,27650,8
Nordeste,CE,,2022-01-14,9132078.0,966987.0,2421,24867,11
Nordeste,PB,,2022-01-15,4018127.0,468178.0,735,9614,0
Nordeste,PE,,2022-01-15,9557071.0,654766.0,596,20544,8
Nordeste,PI,,2022-01-15,3273227.0,344821.0,68,7312,6
Nordeste,CE,,2022-01-15,9132078.0,968505.0,1518,24870,3
Nordeste,RN,,2022-01-15,3506853.0,394011.0,46,7599,6
Nordeste,BA,,2022-01-15,14873064.0,1287084.0,918,27658,8
Nordeste,SE,,2022-01-15,2298696.0,279897.0,310,6065,1
Nordeste,AL,,2022-01-15,3337357.0,245054.0,146,6391,0
Nordeste,MA,,2022-01-15,7075181.0,374304.0,292,10413,2
Nordeste,AL,,2022-01-16,3337357.0,245628.0,574,6393,2
Nordeste,PB,,2022-01-16,4018127.0,468244.0,66,9615,1
Nordeste,RN,,2022-01-16,3506853.0,394291.0,280,7602,3
Nordeste,BA,,2022-01-16,14873064.0,1288556.0,1472,27662,4
Nordeste,PI,,2022-01-16,3273227.0,345004.0,183,7314,2
Nordeste,PE,,2022-01-16,9557071.0,655069.0,303,20548,4
Nordeste,SE,,2022-01-16,2298696.0,280211.0,314,6066,1
Nordeste,CE,,2022-01-16,9132078.0,970490.0,1985,24872,2
Nordeste,MA,,2022-01-16,7075181.0,374392.0,88,10418,5
Nordeste,PI,,2022-01-17,3273227.0,345078.0,74,7318,4
Nordeste,PB,,2022-01-17,4018127.0,468652.0,408,9617,2
Nordeste,AL,,2022-01-17,3337357.0,246044.0,416,6395,2
Nordeste,MA,,2022-01-17,7075181.0,374563.0,171,10422,4
Nordeste,PE,,2022-01-17,9557071.0,655476.0,407,20554,6
Nordeste,RN,,2022-01-17,3506853.0,394427.0,136,7604,2
Nordeste,SE,,2022-01-17,2298696.0,280308.0,97,6067,1
Nordeste,CE,,2022-01-17,9132078.0,970490.0,0,24872,0
Nordeste,BA,,2022-01-17,14873064.0,1290351.0,1795,27672,10
Nordeste,CE,,2022-01-18,9132078.0,980698.0,10208,24916,44
Nordeste,PB,,2022-01-18,4018127.0,469004.0,352,9620,3
Nordeste,PI,,2022-01-18,3273227.0,336690.0,-8388,7323,5
Nordeste,MA,,2022-01-18,7075181.0,375086.0,523,10427,5
Nordeste,RN,,2022-01-18,3506853.0,395645.0,1218,7611,7
Nordeste,BA,,2022-01-18,14873064.0,1294269.0,3918,27695,23
Nordeste,SE,,2022-01-18,2298696.0,280588.0,280,6067,0
Nordeste,AL,,2022-01-18,3337357.0,246511.0,467,6397,2
Nordeste,PE,,2022-01-18,9557071.0,657143.0,1667,20558,4
Nordeste,MA,,2022-01-19,7075181.0,375725.0,639,10431,4
Nordeste,CE,,2022-01-19,9132078.0,982377.0,1679,24942,26
Nordeste,PI,,2022-01-19,3273227.0,336925.0,235,7329,6
Nordeste,PE,,2022-01-19,9557071.0,659358.0,2215,20566,8
Nordeste,AL,,2022-01-19,3337357.0,247013.0,502,6399,2
Nordeste,PB,,2022-01-19,4018127.0,470906.0,1902,9625,5
Nordeste,SE,,2022-01-19,2298696.0,281053.0,465,6068,1
Nordeste,BA,,2022-01-19,14873064.0,1299156.0,4887,27711,16
Nordeste,RN,,2022-01-19,3506853.0,397352.0,1707,7618,7
Nordeste,SE,,2022-01-20,2298696.0,281430.0,377,6069,1
Nordeste,RN,,2022-01-20,3506853.0,399213.0,1861,7622,4
Nordeste,AL,,2022-01-20,3337357.0,247550.0,537,6401,2
Nordeste,BA,,2022-01-20,14873064.0,1303045.0,3889,27731,20
Nordeste,CE,,2022-01-20,9132078.0,987114.0,4737,24956,14
Nordeste,MA,,2022-01-20,7075181.0,376549.0,824,10433,2
Nordeste,PI,,2022-01-20,3273227.0,337286.0,361,7333,4
Nordeste,PB,,2022-01-20,4018127.0,472855.0,1949,9626,1
Nordeste,PE,,2022-01-20,9557071.0,661588.0,2230,20570,4
Nordeste,AL,,2022-01-21,3337357.0,248397.0,847,6403,2
Nordeste,PE,,2022-01-21,9557071.0,663854.0,2266,20574,4
Nordeste,CE,,2022-01-21,9132078.0,987114.0,0,24956,0
Nordeste,SE,,2022-01-21,2298696.0,282070.0,640,6070,1
Nordeste,BA,,2022-01-21,14873064.0,1308146.0,5101,27752,21
Nordeste,PB,,2022-01-21,4018127.0,474846.0,1991,9628,2
Nordeste,MA,,2022-01-21,7075181.0,377458.0,909,10438,5
Nordeste,RN,,2022-01-21,3506853.0,400653.0,1440,7628,6
Nordeste,PI,,2022-01-21,3273227.0,337653.0,367,7336,3
Nordeste,CE,,2022-01-22,9132078.0,990138.0,3024,24980,24
Nordeste,PB,,2022-01-22,4018127.0,477089.0,2243,9632,4
Nordeste,PI,,2022-01-22,3273227.0,338077.0,424,7343,7
Nordeste,RN,,2022-01-22,3506853.0,403321.0,2668,7635,7
Nordeste,PE,,2022-01-22,9557071.0,667212.0,3358,20581,7
Nordeste,AL,,2022-01-22,3337357.0,249267.0,870,6405,2
