regiao,estado,municipio,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,PE,,2021-01-09,9557071.0,230891.0,1190,9826,37
Nordeste,BA,,2021-01-09,14873064.0,511192.0,2497,9392,28
Nordeste,MA,,2021-01-09,7075181.0,201915.0,170,4555,6
Nordeste,PB,,2021-01-09,4018127.0,172261.0,714,3800,12
Nordeste,RN,,2021-01-10,3506853.0,124278.0,495,3090,4
Nordeste,PI,,2021-01-10,3273227.0,147038.0,259,2897,2
Nordeste,SE,,2021-01-10,2298696.0,122594.0,1372,2574,11
Nordeste,PE,,2021-01-10,9557071.0,232037.0,1146,9840,14
Nordeste,BA,,2021-01-10,14873064.0,512841.0,1649,9424,32
Nordeste,PB,,2021-01-10,4018127.0,172776.0,515,3808,8
Nordeste,CE,,2021-01-10,9132078.0,344813.0,926,10155,18
Nordeste,MA,,2021-01-10,7075181.0,201945.0,30,4562,7
Nordeste,AL,,2021-01-10,3337357.0,108542.0,433,2561,8
Nordeste,SE,,2021-01-11,2298696.0,123836.0,1242,2585,11
Nordeste,PI,,2021-01-11,3273227.0,147509.0,471,2906,9
Nordeste,AL,,2021-01-11,3337357.0,108820.0,278,2569,8
Nordeste,BA,,2021-01-11,14873064.0,513756.0,915,9453,29
Nordeste,PE,,2021-01-11,9557071.0,232756.0,719,9851,11
Nordeste,PB,,2021-01-11,4018127.0,173299.0,523,3824,16
Nordeste,RN,,2021-01-11,3506853.0,124523.0,245,3098,8
Nordeste,MA,,2021-01-11,7075181.0,202050.0,105,4568,6
Nordeste,CE,,2021-01-11,9132078.0,345124.0,311,10160,5
Nordeste,PI,,2021-01-12,3273227.0,148032.0,523,2915,9
Nordeste,PB,,2021-01-12,4018127.0,173518.0,219,3836,12
Nordeste,PE,,2021-01-12,9557071.0,234238.0,1482,9889,38
Nordeste,MA,,2021-01-12,7075181.0,202314.0,264,4575,7
Nordeste,SE,,2021-01-12,2298696.0,124276.0,440,2595,10
Nordeste,RN,,2021-01-12,3506853.0,125338.0,815,3115,17
Nordeste,BA,,2021-01-12,14873064.0,515861.0,2105,9480,27
Nordeste,AL,,2021-01-12,3337357.0,109319.0,499,2577,8
Nordeste,CE,,2021-01-12,9132078.0,345235.0,111,10162,2
Nordeste,SE,,2021-01-13,2298696.0,124942.0,666,2607,12
Nordeste,CE,,2021-01-13,9132078.0,348414.0,3179,10189,27
Nordeste,RN,,2021-01-13,3506853.0,125550.0,212,3125,10
Nordeste,PE,,2021-01-13,9557071.0,236041.0,1803,9919,30
Nordeste,BA,,2021-01-13,14873064.0,518955.0,3094,9512,32
Nordeste,AL,,2021-01-13,3337357.0,109720.0,401,2585,8
Nordeste,PI,,2021-01-13,3273227.0,148867.0,835,2922,7
Nordeste,PB,,2021-01-13,4018127.0,174199.0,681,3844,8
Nordeste,MA,,2021-01-13,7075181.0,202574.0,260,4583,8
