regiao,estado,municipio,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,AL,,2020-07-31,31,3337357.0,59725,746,1567,13
Nordeste,BA,,2020-07-31,31,14873064.0,166154,4524,3463,72
Nordeste,CE,,2020-07-31,31,9132078.0,173882,2414,7668,7
Nordeste,MA,,2020-07-31,31,7075181.0,120661,1399,3013,17
Nordeste,PB,,2020-07-31,31,4018127.0,82794,1686,1811,26
Nordeste,PE,,2020-07-31,31,9557071.0,95005,1632,6557,31
Nordeste,PI,,2020-07-31,31,3273227.0,51477,1279,1329,25
Nordeste,RN,,2020-07-31,31,3506853.0,50416,749,1777,26
Nordeste,SE,,2020-07-31,31,2298696.0,58713,1029,1434,26
