regiao,estado,municipio,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,AL,,2022-11-07,45,3337357.0,321639,24,7129,0
Nordeste,BA,,2022-11-07,45,14873064.0,1704535,97,30797,2
Nordeste,CE,,2022-11-07,45,9132078.0,1386756,0,28010,0
Nordeste,MA,,2022-11-07,45,7075181.0,474759,4,10997,0
Nordeste,PB,,2022-11-07,45,4018127.0,654637,80,10406,0
Nordeste,PE,,2022-11-07,45,9557071.0,1066414,388,22414,1
Nordeste,PI,,2022-11-07,45,3273227.0,404893,0,7959,0
Nordeste,RN,,2022-11-07,45,3506853.0,557592,19,8484,1
Nordeste,SE,,2022-11-07,45,2298696.0,342918,0,6443,0
