estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
AL,2021-01-01,105091.0,273,2496,7
BA,2021-01-01,494684.0,1284,9159,30
CE,2021-01-01,335992.0,901,9993,3
MA,2021-01-01,200959.0,21,4506,6
PB,2021-01-01,167062.0,578,3680,8
PE,2021-01-01,222993.0,827,9666,12
PI,2021-01-01,143179.0,507,2840,3
RN,2021-01-01,118353.0,270,2993,0
SE,2021-01-01,113544.0,1039,2492,8
SE,2021-02-01,138187.0,770,2786,8
RN,2021-02-01,140704.0,121,3288,3
PI,2021-02-01,159290.0,267,3065,7
PE,2021-02-01,261745.0,445,10364,16
BA,2021-02-01,589234.0,1128,10136,39
MA,2021-02-01,207649.0,161,4708,11
CE,2021-02-01,374856.0,1439,10477,1
AL,2021-02-01,118220.0,452,2754,8
PB,2021-02-01,192598.0,1014,4068,12
PE,2021-03-01,300104.0,629,11007,11
SE,2021-03-01,152003.0,592,2969,8
RN,2021-03-01,167429.0,534,3608,23
PB,2021-03-01,222259.0,1144,4526,30
PI,2021-03-01,174008.0,317,3352,17
CE,2021-03-01,427148.0,1776,11293,9
MA,2021-03-01,219632.0,325,5074,22
BA,2021-03-01,686057.0,2020,11914,95
AL,2021-03-01,132245.0,499,3010,11
RN,2021-04-01,197076.0,815,4548,41
PI,2021-04-01,206631.0,1626,4141,37
PE,2021-04-01,352218.0,2987,12249,74
PB,2021-04-01,260484.0,1311,5791,47
SE,2021-04-01,175582.0,982,3525,24
CE,2021-04-01,541227.0,2926,14167,143
BA,2021-04-01,808461.0,4797,15472,142
AL,2021-04-01,154199.0,709,3576,22
MA,2021-04-01,243720.0,1319,6108,38
SE,2021-05-01,203036.0,1257,4302,28
RN,2021-05-01,224245.0,1270,5483,23
PI,2021-05-01,240868.0,448,5124,23
PE,2021-05-01,408763.0,2178,14128,90
PB,2021-05-01,293717.0,1048,6819,23
CE,2021-05-01,677152.0,9624,17767,349
BA,2021-05-01,905113.0,4272,18561,84
AL,2021-05-01,174476.0,814,4240,20
MA,2021-05-01,267548.0,638,7311,35
PE,2021-06-01,485594.0,3437,15940,78
RN,2021-06-01,269685.0,1259,6149,33
PI,2021-06-01,273756.0,891,5952,25
PB,2021-06-01,332716.0,1751,7703,31
SE,2021-06-01,238276.0,1371,5114,23
CE,2021-06-01,805134.0,3399,20587,113
BA,2021-06-01,1016480.0,4280,21329,88
AL,2021-06-01,193581.0,535,4768,17
MA,2021-06-01,291373.0,1074,8160,20
RN,2021-07-01,343352.0,3187,6797,29
PI,2021-07-01,296389.0,608,6624,27
PE,2021-07-01,552289.0,1997,17720,35
PB,2021-07-01,396904.0,462,8628,22
SE,2021-07-01,264213.0,701,5714,16
CE,2021-07-01,887774.0,1794,22627,56
BA,2021-07-01,1128432.0,3438,24105,93
AL,2021-07-01,217230.0,513,5360,20
MA,2021-07-01,318394.0,948,9065,22
SE,2021-08-01,274595.0,333,5915,5
RN,2021-08-01,359776.0,111,7097,4
PI,2021-08-01,309858.0,159,6837,2
PE,2021-08-01,591428.0,643,18808,24
PB,2021-08-01,422543.0,495,8994,7
CE,2021-08-01,919462.0,256,23519,0
BA,2021-08-01,1194316.0,627,25759,9
AL,2021-08-01,230069.0,109,5821,12
MA,2021-08-01,337153.0,37,9641,5
PE,2021-09-01,608586.0,1057,19411,28
RN,2021-09-01,365177.0,144,7269,2
SE,2021-09-01,277470.0,15,5995,3
PB,2021-09-01,433729.0,407,9190,3
PI,2021-09-01,316699.0,259,6946,1
CE,2021-09-01,931803.0,482,24027,12
BA,2021-09-01,1221597.0,805,26497,10
AL,2021-09-01,235900.0,126,6078,6
MA,2021-09-01,349537.0,473,10040,9
SE,2021-10-01,278134.0,30,6010,0
RN,2021-10-01,368716.0,97,7340,3
PI,2021-10-01,319410.0,76,7012,1
PE,2021-10-01,621192.0,469,19747,7
PB,2021-10-01,441837.0,163,9312,1
CE,2021-10-01,940756.0,293,24233,12
BA,2021-10-01,1234370.0,571,26866,7
AL,2021-10-01,238249.0,39,6217,4
MA,2021-10-01,356562.0,326,10177,3
SE,2021-11-01,278504.0,6,6031,1
RN,2021-11-01,373693.0,9,7399,2
PI,2021-11-01,325812.0,117,7101,2
PE,2021-11-01,632011.0,119,20025,7
CE,2021-11-01,943675.0,11,24497,0
MA,2021-11-01,361099.0,22,10238,1
BA,2021-11-01,1246439.0,143,27080,3
AL,2021-11-01,240306.0,190,6294,2
PB,2021-11-01,446066.0,55,9423,1
RN,2021-12-01,382003.0,300,7499,3
AL,2021-12-01,241513.0,23,6354,2
BA,2021-12-01,1260931.0,590,27320,11
CE,2021-12-01,951141.0,1341,24664,5
MA,2021-12-01,365338.0,290,10297,3
PB,2021-12-01,460909.0,329,9532,3
PE,2021-12-01,640158.0,421,20253,10
PI,2021-12-01,331612.0,71,7194,6
SE,2021-12-01,278266.0,41,6044,1
