regiao,estado,municipio,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,AL,,2021-12-31,3337357.0,242080,40,6383,0
Nordeste,BA,,2021-12-31,14873064.0,1270858,377,27506,5
Nordeste,CE,,2021-12-31,9132078.0,956325,143,24806,7
Nordeste,MA,,2021-12-31,7075181.0,370645,100,10377,1
Nordeste,PB,,2021-12-31,4018127.0,464335,214,9596,2
Nordeste,PE,,2021-12-31,9557071.0,645681,456,20447,7
Nordeste,PI,,2021-12-31,3273227.0,334440,90,7275,0
Nordeste,RN,,2021-12-31,3506853.0,387202,392,7572,1
Nordeste,SE,,2021-12-31,2298696.0,278530,23,6057,0
