regiao,estado,municipio,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,AL,,2021-06-30,26,3337357.0,216717.0,516,5340,20
Nordeste,BA,,2021-06-30,26,14873064.0,1124994.0,1683,24012,106
Nordeste,CE,,2021-06-30,26,9132078.0,885980.0,512,22571,17
Nordeste,MA,,2021-06-30,26,7075181.0,317446.0,839,9043,20
Nordeste,PB,,2021-06-30,26,4018127.0,396442.0,1733,8606,20
Nordeste,PE,,2021-06-30,26,9557071.0,550292.0,975,17685,45
Nordeste,PI,,2021-06-30,26,3273227.0,295781.0,281,6597,23
Nordeste,RN,,2021-06-30,26,3506853.0,340165.0,2871,6768,20
Nordeste,SE,,2021-06-30,26,2298696.0,263512.0,398,5698,17
